Rank,Title,Artist,Last Week,Peak,Weeks on Chart
1,Idol,YOASOBI,1,1,15
2,Seven,Jung Kook Featuring Latto,2,2,2
3NEW,Spinning Globe,Kenshi Yonezu,-,3,1
4,Where Our Blue Is,Tatsuya Kitani,3,3,3
"5RE-
ENTRY",Natsumatope,=LOVE,-,5,2
6,Magic,Mrs. GREEN APPLE,6,3,6
7NEW,Bongiri koiuta,Southern All Stars,-,7,1
8,Kaiju No Hanauta,VAUNDY,7,2,104
9,Ao To Natsu,Mrs. GREEN APPLE,11,9,189
10,Que Sera Sera,Mrs. GREEN APPLE,8,4,13
11,Utsukushii Hire,Spitz,9,2,15
12,Kizuna No Kiseki,MAN WITH A MISSION x milet,12,2,15
13,Super Shy,NewJeans,10,10,3
14,Mephisto,Queen Bee,23,13,13
15,Subtitle,Official HIGE DANdism,14,1,41
16,Dance Hall,Mrs. GREEN APPLE,16,8,61
17,Tattoo,Official HIGE DANdism,15,6,14
18,I'm a Mess,MY FIRST STORY,18,12,17
19NEW,My Story,INI,-,19,1
20,Otonablue,ATARASHII GAKKO!,20,10,21
21,Billimillion,Yuuri,24,6,27
22,Fuzzy Navel,Conton Candy,25,17,7
23,Soranji,Mrs. GREEN APPLE,21,10,40
24,W / X / Y,Tani Yuuki,28,3,80
25,Kick Back,Kenshi Yonezu,27,1,41
26,The Blessing,YOASOBI,19,2,43
27,Cinderella Boy,Saucy Dog,29,4,94
28,Garden,Fujii Kaze,26,26,8
29,Overdose,natori,36,4,45
30,Suiheisen,back number,37,2,102
31,Tsuki Wo Miteita,Kenshi Yonezu,17,3,4
32,Shin Jidai (Uta from ONE PIECE FILM RED),Ado,31,1,59
33,Dried Flower,Yuuri,32,2,143
34,Dai Zero Kan,10-FEET,34,4,34
35,Kiminomama,"Mukade, Inman",35,7,22
36,"Eve, Psyche & The Bluebeard's Wife",LE SSERAFIM,33,22,9
37,Himawari,Ado,30,30,2
38,Marigold,aimyon,45,1,258
39,Tenbyou No Uta,Mrs. GREEN APPLE Feat. Sonoko Inoue,42,25,194
40,Gunjou,YOASOBI,39,6,151
41,Sonna Bitter Na Hanashi,VAUNDY,38,15,19
42NEW,New Day! New Wave!,EBiDAN,-,42,1
43,Yoru Ni Kakeru,YOASOBI,43,1,175
44,Ditto,NewJeans,46,9,31
45,Anata No Koibito Ni Naritai,Choqmay,49,45,6
46,Mixed Nuts,Official HIGE DANdism,47,1,67
47,Takane No Hanako San,back number,53,3,204
48,Ai No Hana,aimyon,48,9,16
49,Betelgeuse,Yuuri,50,2,80
50,fake face dance music,Masanori Otoda,55,50,2
51NEW,ISTJ,NCT DREAM,-,51,1
52,Boku No Koto,Mrs. GREEN APPLE,58,7,84
53,Inferno,Mrs. GREEN APPLE,52,17,129
54,I'm Invincible,Mrs. GREEN APPLE,44,44,5
55,Akari,Soushi Sakiyama,100,55,2
56,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,51,10,12
57,Hanabi,Aiko,71,38,20
58,Do Not Touch,MISAMO,89,58,2
59,OMG,NewJeans,56,7,29
60,Zankyosanka,Aimer,54,1,85
61,Blue Ambience,Mrs.GREEN APPLE (Feat. asmi),57,42,25
62,New Jeans,NewJeans,64,62,2
63,Monster,YOASOBI,63,2,130
64,I Love You,back number,62,5,39
65,COCONUT,NiziU,75,30,4
66,Nandemo Naiyo,Macaroni Empitsu,66,4,90
67,Watashi Ha Saikyo (Uta from ONE PIECE FILM RED),Ado,70,2,57
68,Habit,SEKAI NO OWARI,65,1,65
69,STARS,B`z,4,4,2
70,Hare Hare,TWICE,61,3,11
71,Pretender,Official HIGE DANdism,74,1,222
72NEW,ENCORE AGAIN,UVERworld (feat.SHUNTO),-,72,1
73,I Am,IVE,67,10,15
74,Star Main,Da-iCE,76,13,40
75,S-Class,Stray Kids,60,8,8
76,Hug me,YUTORI-SEDAI,68,67,3
77,Queencard,(G)I-DLE,69,47,10
78,Night Dancer,imase,79,38,10
79,Lady,Yonezu Kenshi,77,2,18
80,115 Millon Kilometer Film,Official HIGE DANdism,81,60,53
81NEW,ETA,NewJeans,-,81,1
82,Ai Toka Koi Toka,Novelbright,83,12,66
83,Mela!,Ryokuoushoku Shakai,87,37,151
84,Kirari,Fujii Kaze,86,2,113
85,Leo,Yuuri,82,12,79
86,Yoidoreshirazu,Kanaria,85,34,27
87,Nagisa,imase,84,29,8
88,Lemon,Kenshi Yonezu,94,1,252
89,Hakanakunai,SUPER BEAVER,78,12,5
90,Ringyu Love,Macaroni Empitsu,90,13,27
91NEW,Cool With You,NewJeans,-,91,1
92,Tada Kimini Hare,yorushika,99,22,110
93,Hiten,"Ayase,R Shitei",73,73,2
"94RE-
ENTRY",Odoriko,VAUNDY,-,15,85
95,Fukakouryoku,VAUNDY,98,36,104
96,Seventeen,YOASOBI,92,21,17
"97RE-
ENTRY",Hype Boy,NewJeans,-,41,26
"98RE-
ENTRY",Friday night,natori,-,24,15
"99RE-
ENTRY",Turquoise,SEKAI NO OWARI,-,20,8
"100RE-
ENTRY","Chu,Tayousei",ano,-,30,32
